ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
324,SBST,1,FEEDER,64009,64009,09-10,09-15,09-10,09-15,Upp Serangoon View
325,SBST,1,FEEDER,64009,64009,9-10,9-13,9-10,10-13,Hougang St 91
329,SBST,1,FEEDER,64009,64009,10-10,12-12,10-12,10-15,Buangkok Cres
33,SBST,1,TRUNK,84009,16009,09-15,08-15,12-14,12-14,
33,SBST,2,TRUNK,16009,84009,11-14,08-16,08-11,12-16,
33A,SBST,1,TRUNK,16009,10149,-,19-19,-,-,
33B,SBST,1,TRUNK,84009,81179,17-17,09-41,-,-,
35,SBST,1,TRUNK,84009,84009,09-10,09-15,09-15,15-15,Alps Ave
35M,SBST,1,TRUNK,84009,84009,-,-,-,15-20,Tanah Merah Ferry Rd
37,SBST,1,TRUNK,75009,75009,06-08,06-13,08-12,12-12,Changi Nth Cres
371,SBST,1,FEEDER,67009,67009,10-10,8-13,10-13,8-14,Rivervale Cres
372,SBST,1,FEEDER,67009,67009,7-9,8-12,9-10,8-11,Punggol Rd
374,SBST,1,FEEDER,67759,67759,11-11,11-12,11-12,11-15,Fernvale Rd
38,SBST,1,TRUNK,75009,84009,08-10,09-14,08-15,12-15,
38,SBST,2,TRUNK,84009,75009,09-10,08-14,09-10,11-16,
39,SBST,1,TRUNK,75019,59009,07-13,08-14,08-17,15-17,
39,SBST,2,TRUNK,59009,75019,08-12,07-14,09-10,14-17,
3N,SBST,1,2-TIER FLAT FARE,02099,45301,-,-,-,40-40,
4,SBST,1,TRUNK,75009,75009,10-12,11-13,10-13,11-12,Changi Nth Way
40,SBST,1,TRUNK,84009,84009,12-14,14-18,15-19,18-19,Merpati Rd
400,SBST,1,TRUNK,03239,03239,20-20,20-20,20-20,20-20,Marina Coastal Dr
401,SBST,1,TRUNK,84009,84009,-,21-25,25-26,25-27,Fort Rd
405,SBST,1,TRUNK,22009,22009,22-22,25-26,-,-,Old Choa Chu Kang Rd
410,SBST,1,FEEDER,53009,53009,05-06,05-10,04-05,04-12,Shunfu Rd
410,SBST,2,FEEDER,53009,53009,05-06,05-12,06-06,06-14,Shunfu Rd
410G,SBST,1,FEEDER,53009,53009,05-07,06-12,06-07,06-14,Shunfu Rd
410W,SBST,1,FEEDER,53009,53009,05-06,05-10,04-05,04-12,Shunfu Rd
42,SBST,1,TRUNK,83321,83321,09-11,09-19,10-15,08-18,Fidelio St
45,SBST,1,TRUNK,94009,55009,08-16,08-18,08-13,08-18,
45,SBST,2,TRUNK,55009,94009,11-14,08-19,08-10,16-18,
45A,SBST,1,TRUNK,63291,62139,26-27,-,-,-,
46,SBST,1,TRUNK,94009,75009,12-12,13-15,12-12,12-16,
46,SBST,2,TRUNK,75009,94009,12-12,14-15,12-15,12-16,
47,SBST,1,TRUNK,97009,97009,09-10,09-13,10-10,12-14,Amber Rd
48,SBST,1,TRUNK,84299,11379,06-09,07-17,11-13,13-19,
48,SBST,2,TRUNK,11379,84299,10-13,09-16,08-17,14-18,
4N,SBST,1,NIGHT SERVICE,02099,78059,-,-,-,40-40,
5,SBST,1,TRUNK,77009,10009,08-13,09-17,13-14,12-18,
5,SBST,2,TRUNK,10009,77009,09-10,10-16,08-17,11-17,
50,SBST,1,TRUNK,53009,65009,08-13,07-13,09-14,12-14,
50,SBST,2,TRUNK,65009,53009,10-11,08-13,11-14,09-14,
502,SBST,1,EXPRESS,22609,22609,15-15,13-22,11-22,18-22,Central Blvd
502A,SBST,1,EXPRESS,22609,03529,20-20,-,-,-,
506,SBST,1,EXPRESS,28009,94009,12-15,12-22,16-24,19-24,
506,SBST,2,EXPRESS,94009,28009,15-19,14-22,13-18,19-21,
51,SBST,1,TRUNK,64009,28009,10-11,08-19,11-13,12-15,
51,SBST,2,TRUNK,28009,64009,12-14,08-16,09-16,10-16,
513,SBST,1,EXPRESS,75129,03218,12-13,-,-,-,
513,SBST,2,EXPRESS,03222,75121,-,-,15-15,-,
51A,SBST,1,TRUNK,28009,20191,-,-,-,17-17,
52,SBST,1,TRUNK,53009,28009,09-13,09-16,11-13,13-15,
52,SBST,2,TRUNK,28009,53009,08-16,10-17,11-20,14-19,
53,SBST,1,TRUNK,53009,53009,07-11,05-11,06-12,09-12,PTB2 Basement
53A,SBST,1,TRUNK,77289,95129,-,-,-,-,PTB2 Basement
53M,SBST,1,TRUNK,63261,63269,6-17,4-25,7-22,5-23,S'goon Ctrl
54,SBST,1,TRUNK,53009,10499,10-15,11-15,13-15,12-15,
54,SBST,2,TRUNK,10499,53009,13-19,10-15,11-18,11-18,
55,SBST,1,TRUNK,53009,94009,08-10,09-13,11-14,13-19,
55,SBST,2,TRUNK,94009,53009,09-10,09-15,09-14,12-14,
55B,SBST,1,TRUNK,53009,54381,-,-,-,15-15,
56,SBST,1,TRUNK,53009,02099,10-11,10-18,13-14,13-17,
56,SBST,2,TRUNK,02099,53009,10-16,10-17,11-15,15-16,
57,SBST,1,TRUNK,53009,10009,08-12,08-15,12-16,12-16,
57,SBST,2,TRUNK,10009,53009,12-13,11-16,11-12,14-15,
58,SBST,1,TRUNK,53009,77009,07-10,07-17,11-13,17-18,
58,SBST,2,TRUNK,77009,53009,08-10,08-19,07-14,15-17,
58A,SBST,1,TRUNK,62131,75351,-,-,-,-,
58B,SBST,1,TRUNK,77009,70281,-,-,-,-,
59,SBST,1,TRUNK,53009,99009,09-10,08-17,13-17,15-17,
59,SBST,2,TRUNK,99009,53009,10-13,08-16,08-19,14-19,
5N,SBST,1,NIGHT SERVICE,02099,27159,-,-,-,40-40,
60,SBST,1,TRUNK,82009,82009,06-10,05-10,05-12,06-17,Bedok Nth Dr
60A,SBST,1,TRUNK,82009,84511,-,-,10-14,11-52,
63,SBST,1,TRUNK,82009,82009,07-09,09-16,08-14,09-14,Jln Rumah Tinggi
63M,SBST,1,TRUNK,82009,82009,08-14,11-18,14-16,10-14,Circuit Rd
64,SBST,1,TRUNK,80289,80289,10-12,12-16,14-17,13-16,Mei Ling St
65,SBST,1,TRUNK,75009,14009,09-10,08-16,10-11,10-15,
65,SBST,2,TRUNK,14009,75009,08-10,08-12,10-13,07-15,
654,SBST,1,EXPRESS,67319,03218,05-05,-,-,-,
654,SBST,2,EXPRESS,03241,67311,-,-,07-08,-,
655,SBST,1,EXPRESS,20129,03391,15-15,-,-,-,
655,SBST,2,EXPRESS,03539,20121,-,-,15-15,-,
660,SBST,1,EXPRESS,66481,03218,06-07,-,-,-,
660,SBST,2,EXPRESS,03241,66489,-,-,15-15,-,
671,SBST,1,EXPRESS,65011,03391,20-20,-,-,-,
671,SBST,2,EXPRESS,03539,65019,-,-,15-15,-,
672,SBST,1,EXPRESS,64431,03391,15-15,-,-,-,
672,SBST,2,EXPRESS,03539,64561,-,-,15-15,-,
69,SBST,1,TRUNK,75009,75009,06-08,05-12,06-09,09-13,Bedok Nth Dr
6N,SBST,1,NIGHT SERVICE,02099,65201,-,-,-,30-30,
7,SBST,1,TRUNK,84009,17009,11-12,06-13,11-14,09-12,
7,SBST,2,TRUNK,17009,84009,10-12,07-13,09-13,08-13,
70,SBST,1,TRUNK,55509,03239,06-07,07-12,06-07,-,
70,SBST,2,TRUNK,03239,55509,08-12,08-13,07-09,09-09,
70A,SBST,1,TRUNK,55509,02171,-,-,-,15-15,Temasek Ave
70B,SBST,1,TRUNK,55101,66359,13-32,58-58,-,-,
70M,SBST,1,TRUNK,55509,55509,14-15,14-15,14-14,14-15,Temasek Ave
71,SBST,1,TRUNK,55509,55509,12-12,15-15,12-15,12-15,Bishan St 11
72,SBST,1,TRUNK,55509,75009,02-10,03-12,03-07,09-14,
72,SBST,2,TRUNK,75009,55509,04-08,03-12,03-07,04-11,
72A,SBST,1,TRUNK,55509,64549,09-50,59-59,-,-,
72B,SBST,1,TRUNK,55509,54481,02-03,02-04,-,-,
73,SBST,1,TRUNK,54009,54009,11-12,09-12,09-11,10-12,Lor 6 Toa Payoh
73A,SBST,1,TRUNK,54009,52009,-,-,-,10-10,Lor 6 Toa Payoh
74,SBST,1,TRUNK,64009,11379,05-13,04-14,05-10,09-13,
74,SBST,2,TRUNK,11379,64009,07-13,04-14,07-09,10-12,
74e,SBST,1,EXPRESS,64009,11379,15-15,-,-,-,
74e,SBST,2,EXPRESS,11379,64009,-,-,15-15,-,
76,SBST,1,TRUNK,55509,82009,10-11,11-14,10-14,14-15,
76,SBST,2,TRUNK,82009,55509,09-11,10-14,10-11,10-15,
7A,SBST,1,TRUNK,84009,09022,20-22,17-35,19-28,25-35,
7B,SBST,1,TRUNK,17009,08057,15-24,14-31,19-23,28-32,
8,SBST,1,TRUNK,75009,52009,04-07,04-13,06-08,07-14,
8,SBST,2,TRUNK,52009,75009,05-07,05-14,06-07,06-16,
80,SBST,1,TRUNK,67009,14009,08-12,10-14,13-16,13-16,
80,SBST,2,TRUNK,14009,67009,09-12,12-18,12-15,14-15,
800,SBST,1,FEEDER,59009,59009,05-06,06-08,05-06,06-09,Sembawang Rd
803,SBST,1,FEEDER,59009,59009,05-07,05-08,04-08,04-09,Yishun Ave 6
804,SBST,1,FEEDER,59009,59009,05-05,04-07,04-06,05-09,Yishun Ave 11
805,SBST,1,FEEDER,59009,59009,06-06,07-09,06-08,06-10,Yishun Ave 1
806,SBST,1,FEEDER,59009,59009,03-04,04-06,03-05,04-11,Yishun Ave 6
807,SBST,1,FEEDER,59009,59009,03-06,03-07,03-05,04-13,Yishun Ave 5
807A,SBST,1,FEEDER,59009,59569,04-09,04-06,-,-,
80A,SBST,1,TRUNK,67009,81089,12-28,16-27,-,-,
81,SBST,1,TRUNK,75009,75009,09-12,07-11,08-14,13-18,S'goon Ctrl
811,SBST,1,FEEDER,59009,59009,04-06,04-07,05-07,04-08,Yishun Ave 5
811A,SBST,1,FEEDER,59009,59159,-,-,05-26,05-30,Sembawang Rd
812,SBST,1,FEEDER,59009,59009,05-06,05-08,06-08,06-14,Yishun Ave 4
850E,SBST,1,EXPRESS,59581,03218,05-08,-,-,-,
850E,SBST,2,EXPRESS,03222,59579,-,-,15-15,-,
851,SBST,1,TRUNK,59009,10009,08-08,08-12,08-12,09-12,
851,SBST,2,TRUNK,10009,59009,09-10,08-12,08-09,10-12,
851e,SBST,1,EXPRESS,59009,05019,20-30,20-30,20-30,20-30,
851e,SBST,2,EXPRESS,05012,59009,20-20,20-30,20-20,30-30,
852,SBST,1,TRUNK,59009,43009,12-14,12-14,11-13,13-14,
852,SBST,2,TRUNK,43009,59009,11-14,11-14,11-14,12-14,
86,SBST,1,TRUNK,67009,54009,08-12,08-13,08-11,10-15,
86,SBST,2,TRUNK,54009,67009,11-14,08-13,08-12,10-17,
860,SBST,1,TRUNK,59009,59009,10-10,11-13,10-12,10-14,Ang Mo Kio Ave 8
87,SBST,1,TRUNK,67009,84009,04-07,03-14,04-09,04-17,
87,SBST,2,TRUNK,84009,67009,04-09,03-14,04-15,15-17,
88,SBST,1,TRUNK,77009,52009,07-09,06-12,07-10,08-12,
88,SBST,2,TRUNK,52009,77009,09-10,05-14,07-09,09-14,
88A,SBST,1,TRUNK,65069,54269,15-15,-,-,-,
88B,SBST,2,TRUNK,54261,66471,09-35,-,-,-,
89,SBST,1,TRUNK,64009,64009,07-12,07-15,09-16,14-16,Airport Cargo Rd
89A,SBST,1,TRUNK,77289,95039,26-34,-,-,-,Airport Cargo Rd
89e,SBST,1,EXPRESS,64009,95049,11-12,-,-,-,
89e,SBST,2,EXPRESS,95051,64009,-,-,12-12,-,
9,SBST,1,TRUNK,84009,84009,05-09,06-12,07-15,12-23,Airport Cargo Rd
90,SBST,1,TRUNK,52009,52009,17-19,10-26,9-16,19-32,Airport Rd
90A,SBST,1,TRUNK,52009,71189,13-46,17-17,-,-,Airport Rd
91,SBST,1,TRUNK,11379,11389,8-15,08-19,10-11,10-12,Ayer Rajah Cres
92,SBST,1,TRUNK,11009,11009,07-16,05-21,05-14,16-21,Science Pk Dr
92A,SBST,1,TRUNK,11009,11351,-,-,07-42,20-20,Science Pk Dr
92B,SBST,1,TRUNK,11009,18281,04-31,06-57,-,15-16,
92M,SBST,1,TRUNK,11009,11009,11-13,12-13,12-13,-,Nth Buona Vista Rd
93,SBST,1,TRUNK,14009,82009,13-15,10-19,11-14,14-18,
93,SBST,2,TRUNK,82009,14009,11-13,13-19,14-15,13-17,
94,SBST,1,TRUNK,82009,82009,9-24,9-26,14-17,14-14,Airport Rd
94A,SBST,1,TRUNK,82009,73019,11-12,-,-,-,Airport Rd
95,SBST,1,TRUNK,16009,16009,09-10,07-12,07-18,11-15,Holland Rd
95B,SBST,1,TRUNK,16009,11361,-,-,27-37,-,
99,SBST,1,TRUNK,17009,24009,06-07,05-12,05-09,08-12,
99,SBST,2,TRUNK,24009,17009,06-08,05-11,07-08,07-12,
9A,SBST,1,TRUNK,84009,98011,-,-,-,34-34,
CT18,SBST,1,FLAT FARE $2.00,84211,10499,-,28-38,-,-,
CT18,SBST,2,FLAT FARE $2.00,10499,84219,-,27-32,-,-,
CT8,SBST,1,FLAT FARE $2.00,55159,10499,-,11-36,-,-,
CT8,SBST,2,FLAT FARE $2.00,10499,55151,-,20-35,-,-,
110,SMRT,1,TRUNK,67759,67759,09-10,08-12,11-13,10-13,PTB2 Basement
167,SMRT,1,TRUNK,58009,10009,10,09-15,15-16,13-15,
167,SMRT,2,TRUNK,10009,58009,12-14,08-15,08-16,12-16,
167e,SMRT,1,EXPRESS,58009,03218,20-30,30,30,30,
167e,SMRT,2,EXPRESS,03223,58009,30,30,20-30,20-30,
169,SMRT,1,TRUNK,46009,54009,02-08,05-09,06-07,10,
169,SMRT,2,TRUNK,54009,46009,06-08,05-09,05-07,06-10,
169A,SMRT,1,TRUNK,46009,59073,02-08,05-09,06-07,10,
169B,SMRT,1,TRUNK,46009,46711,33,-,-,-,
171,SMRT,1,TRUNK,59009,02099,10-13,10-14,10-15,11-15,
171,SMRT,2,TRUNK,02099,59009,10-11,10-13,10-11,11-13,
172,SMRT,1,TRUNK,44009,22009,06-07,05-13,06-09,09-12,
172,SMRT,2,TRUNK,22009,44009,06-07,05-13,07-09,10-13,
176,SMRT,1,TRUNK,45009,10009,06-09,06-11,10-11,09-15,
176,SMRT,2,TRUNK,10009,45009,08-09,07-12,07-08,08-13,
178,SMRT,1,TRUNK,46009,22009,06-14,07-15,14-16,14-17,
178,SMRT,2,TRUNK,22009,46009,14-15,12-15,14-15,15-17,
178A,SMRT,1,TRUNK,46009,45139,14-42,-,-,-,
180,SMRT,1,TRUNK,22009,22009,04-09,08-13,05-11,10-12,Bt Panjang Rd
180A,SMRT,1,TRUNK,22009,44259,-,-,24-52,10,
184,SMRT,1,TRUNK,48009,48009,06-08,06-09,06-09,07-11,C'wealth Ave West
187,SMRT,1,TRUNK,46009,22009,07-09,05-11,07-13,09-13,
187,SMRT,2,TRUNK,22009,46009,06-08,06-10,06-09,07-13,
188,SMRT,1,TRUNK,44009,14009,05-10,07-16,07-13,13-14,
188,SMRT,2,TRUNK,14009,44009,09-14,07-16,07-08,08-14,
188e,SMRT,1,EXPRESS,44009,14009,15,-,-,-,
188R,SMRT,1,EXPRESS,44009,14519,35,30-35,30-33,27-31,
188R,SMRT,2,EXPRESS,14519,44009,-,30-33,28-33,30-33,
190,SMRT,1,TRUNK,44009,10499,02-05,04-07,06-07,07-11,
190,SMRT,2,TRUNK,10499,44009,08-11,04-07,04-06,05-08,
190A,SMRT,1,TRUNK,44009,08057,04-24,-,-,-,
300,SMRT,1,FEEDER,44009,44009,05-05,04-06,03-05,05-10,Choa Chu Kang Ave 3
301,SMRT,1,FEEDER,44009,44009,06-08,06-09,06-08,07-10,Keat Hong Cl
302,SMRT,1,FEEDER,44009,44009,03-05,04-06,04-06,06-10,Choa Chu Kang Cres
302A,SMRT,1,FEEDER,45321,45329,06-13,-,06-24,-,
307,SMRT,1,FEEDER,44009,44009,05-07,04-09,06-07,07-12,Choa Chu Kang St 62
307,SMRT,2,FEEDER,,,05-07,04-09,06-07,07-12,Choa Chu Kang St 62
307A,SMRT,1,FEEDER,44009,44531,10-15,10-32,10-12,10-34,Choa Chu Kang St 62
61,SMRT,1,TRUNK,43009,82009,07-09,09-14,10-13,10-15,
61,SMRT,2,TRUNK,82009,43009,08-13,09-15,08-15,11-15,
652,SMRT,1,EXPRESS,56021,03218,08,-,-,-,
652,SMRT,2,EXPRESS,03241,56029,-,-,15,-,
653,SMRT,1,EXPRESS,43811,03391,10,-,-,-,
653,SMRT,2,EXPRESS,03539,43268,-,-,15,-,
656,SMRT,1,EXPRESS,58121,03218,10,-,-,-,
656,SMRT,2,EXPRESS,03241,58129,-,-,15,-,
657,SMRT,1,EXPRESS,28539,03391,15,-,-,-,
657,SMRT,2,EXPRESS,03539,28531,-,-,15,-,
67,SMRT,1,TRUNK,44009,75009,06-09,07-12,08-11,09-13,
67,SMRT,2,TRUNK,75009,44009,07-09,06-11,08-12,09-12,
67A,SMRT,1,TRUNK,44009,41049,-,77,-,-,
67W,SMRT,1,TRUNK,75009,40011,-,77,-,-,
700,SMRT,1,TRUNK,48009,03218,04-10,10-13,10-12,-,
700,SMRT,2,TRUNK,03239,48009,13,09-13,10-11,11,
700A,SMRT,1,TRUNK,48009,48009,11-12,11-12,12,10-13,Temasek Ave
75,SMRT,1,TRUNK,48009,02099,04-09,08-14,11-14,13-16,
75,SMRT,2,TRUNK,02099,48009,09-12,07-13,08-15,13-15,
75A,SMRT,1,TRUNK,48009,12099,-,-,-,-,
825,SMRT,1,TRUNK,55509,55509,08-11,10-20,09-13,09-10,Lentor Loop
853,SMRT,1,TRUNK,59009,80009,09-12,10-15,13-14,14-18,
853,SMRT,2,TRUNK,80009,59009,08-14,08-16,11-12,12-18,
853M,SMRT,1,TRUNK,59009,94009,11-13,09-14,12-14,14-15,
853M,SMRT,2,TRUNK,94009,59009,12-18,10-15,12-14,13-15,
854,SMRT,1,TRUNK,59009,84009,05-07,05-11,07,07-12,
854,SMRT,2,TRUNK,84009,59009,04-08,05-11,06-07,07-13,
854e,SMRT,1,EXPRESS,59009,84009,15-24,-,-,-,
855,SMRT,1,TRUNK,59009,14009,10-11,10-15,13-15,12-15,
855,SMRT,2,TRUNK,14009,59009,12-13,09-14,12-13,12-14,
856,SMRT,1,TRUNK,59009,46009,05-06,05-10,05-07,05-11,
856,SMRT,2,TRUNK,46009,59009,04-06,05-11,03-07,02-11,
856A,SMRT,1,TRUNK,46009,46069,-,-,30-40,-,
857,SMRT,1,TRUNK,59009,59009,03-07,05-09,06-10,08-10,Temasek Ave
857A,SMRT,1,TRUNK,59009,55081,12,-,-,-,
858,SMRT,1,TRUNK,46009,46009,05-09,05-09,05-09,06-10,PTB2 Basement
858A,SMRT,1,TRUNK,46009,59073,-,-,-,11,
859,SMRT,1,TRUNK,58009,58009,09-11,09-11,10-11,10-13,Yishun Ctrl
859A,SMRT,1,TRUNK,58009,58009,08-20,08-36,10-22,12-25,Admiralty Link
859B,SMRT,1,TRUNK,58009,58009,08-24,08-25,09-22,11-24,Sembawang Cres
868E,SMRT,1,EXPRESS,43581,02161,15,-,-,-,
882,SMRT,1,TRUNK,58009,58009,13-17,13-17,14-18,12-17,Sembawang Rd
882A,SMRT,1,TRUNK,58009,58501,-,-,20-41,-,
883,SMRT,1,TRUNK,58009,58009,07-09,09-13,07-12,07-20,Yishun Ctrl 2
883B,SMRT,1,TRUNK,59079,58539,-,-,-,22-26,
883M,SMRT,1,TRUNK,58009,58009,-,-,-,30,Sembawang Rd
900,SMRT,1,FEEDER,46009,46009,06-08,05-09,08,06-15,Woodlands Dr 14
900A,SMRT,1,FEEDER,46009,46009,06-08,06-09,08-10,-,Woodlands Dr 17
901,SMRT,1,FEEDER,46009,46009,02-08,06-12,08-09,08-15,Woodlands Ave 6
901M,SMRT,1,FEEDER,46009,46009,08-09,08-10,07-09,08-20,Woodlands Ave 6
902,SMRT,1,FEEDER,46009,46269,03-09,02-07,-,-,
903,SMRT,1,FEEDER,46009,46009,05-09,06-09,06-08,07-14,Woodlands Ctr Rd
903M,SMRT,1,FEEDER,46009,46009,24,-,21-22,-,Marsiling Lane
904,SMRT,1,FEEDER,46009,46009,08-10,09-13,08-09,08-13,Woodlands Cres
911,SMRT,1,FEEDER,46009,46009,02-06,05-11,04-06,02-12,Woodlands Ave 2
912,SMRT,1,FEEDER,46009,46009,23-27,21-25,22-25,19-25,Woodlands Ave 7
912A,SMRT,1,FEEDER,46009,46008,05-06,07-09,06-09,06-10,Woodlands Ave 7
912B,SMRT,1,FEEDER,46008,46009,01-12,08-11,04-11,08-11,Woodlands Ctr Rd
912M,SMRT,1,FEEDER,46008,46009,20,-,20,-,Woodlands St 41
